freq,month,animals,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,M12,A3100,THS_HD,AL	: 	: 	172.40 	177.44 	183.62 p	180.09 	184.13 	183.85 	158.40 	159.24 	137.30 	: 
A,M12,A3100,THS_HD,AT	2983.16 	2895.84 	2868.19 	2845.45 	2792.80 	2820.08 	2776.57 	2773.23 	2806.46 	2785.59 	2650.15 	2516.46 
A,M12,A3100,THS_HD,BA	539.00 e	530.00 e	533.00 e	564.00 e	545.00 e	548.00 e	542.00 e	543.00 e	547.00 e	569.62 	471.55 	: 
A,M12,A3100,THS_HD,BE	6447.75 	6351.28 	6350.29 	6364.16 	6176.58 	6108.08 	6209.13 	6085.10 	6218.27 	6042.15 	5751.18 	5404.14 p
A,M12,A3100,THS_HD,BG	530.95 	586.42 	553.11 	600.07 	616.43 	593.15 	654.55 	491.81 	592.10 	694.66 	601.70 	726.94 p
A,M12,A3100,THS_HD,CH	1544.02 	1484.73 	1498.32 	1494.13 	1442.33 	1419.20 	1393.19 	1354.03 	1315.10 	1371.44 p	1352.35 	1315.50 
A,M12,A3100,THS_HD,CY	395.21 	357.90 	342.07 	358.06 	352.61 	350.16 	362.05 	351.76 	359.06 	360.59 	330.87 	309.76 
A,M12,A3100,THS_HD,CZ	1533.81 	1547.69 	1606.86 	1555.40 	1479.28 	1531.69 	1507.58 	1508.91 	1546.02 	1493.44 	1328.82 	1362.28 
A,M12,A3100,THS_HD,DE	28331.41 	28133.26 	28338.99 	27652.42 	27376.06 	27577.57 	26445.40 	26053.40 	26069.90 	23762.30 	21366.30 	21223.70 
A,M12,A3100,THS_HD,DK	12281.00 	12402.00 	12709.00 	12702.00 	12281.00 	12832.00 	12642.00 	12728.00 	13391.00 	13152.00 	11541.00 	11368.00 
A,M12,A3100,THS_HD,EE	375.10 	358.70 	357.90 	304.50 	265.90 	289.10 	290.40 	301.60 	316.60 	308.00 	269.38 	274.96 
A,M12,A3100,THS_HD,EL	1044.00 	1031.00 	1046.00 	877.00 	743.00 	744.00 	721.00 	733.00 	743.00 	758.90 	741.60 	736.80 p
A,M12,A3100,THS_HD,ES	25250.38 	25494.72 	26567.58 	28367.34 	29231.60 	29971.36 	30804.10 p	31246.04 	32796.07 p	34454.09 p	34073.38 	33803.04 
A,M12,A3100,THS_HD,EU27_2020	142739.66 	141858.51 	143820.80 	144324.03 e	142649.62 	145543.55 	143518.56 	143146.16 	145911.38 	141681.38 p	134410.04 	132951.30 
A,M12,A3100,THS_HD,FI	1270.50 	1258.30 	1222.60 	1239.00 	1196.70 	1108.40 	1041.20 	1062.20 	1103.90 	1093.70 	997.67 	978.42 p
A,M12,A3100,THS_HD,FR	13778.00 	13428.00 	13300.00 	13307.00 	12791.00 p	13353.00 	13713.00 	13510.00 	13393.00 	12941.00 	12182.59 	11794.05 
A,M12,A3100,THS_HD,HR	1182.00 	1110.00 	1156.00 	1167.00 	1163.00 	1121.00 	1049.00 	1022.00 	1033.00 	972.00 	945.00 b	847.00 p
A,M12,A3100,THS_HD,HU	2989.00 	3004.00 	3136.00 	3124.00 	2907.00 	2870.00 	2872.00 	2634.00 	2850.00 	2725.90 	2558.10 	2607.70 
A,M12,A3100,THS_HD,IE	1493.49 	1469.09 	1505.66 	1474.54 	1527.83 	1616.36 	1572.15 	1613.27 	1678.57 	1713.59 	1570.39 	1407.61 
A,M12,A3100,THS_HD,IS	36.30 	36.30 	36.50 e	36.40 e	38.00 	37.00 	36.00 	35.00 	: 	: 	24.30 	: 
A,M12,A3100,THS_HD,IT	8661.53 	8561.28 	8676.10 	8674.79 	8477.93 	8570.75 	8492.23 	8510.27 	8543.03 	8407.97 	8739.00 b	9171.00 
A,M12,A3100,THS_HD,LT	807.50 	754.60 	714.20 	687.80 	663.90 	611.90 	572.00 	550.80 	580.40 	573.80 	517.42 	487.83 p
A,M12,A3100,THS_HD,LU	88.61 	89.55 	92.69 	88.50 	95.48 	90.94 	82.59 	84.04 	82.13 	78.33 	66.41 	65.20 
A,M12,A3100,THS_HD,LV	355.22 	367.54 	349.43 	334.16 	336.39 	320.56 	304.90 	314.20 	306.82 	327.02 	307.95 	289.40 p
A,M12,A3100,THS_HD,ME	18.45 	21.00 	22.00 	25.00 	55.00 p	25.00 p	23.60 p	23.00 p	25.81 p	24.33 p	24.51 p	: 
A,M12,A3100,THS_HD,MK	152.00 	167.00 	165.00 	195.00 	203.00 	202.00 	196.00 	136.00 	164.00 	186.00 	182.00 	: 
A,M12,A3100,THS_HD,MT	45.21 	49.45 	47.47 	43.63 	40.60 	34.01 	36.29 	35.48 	40.09 	40.05 	29.55 	35.79 
A,M12,A3100,THS_HD,NL	12104.00 	12013.00 	12065.00 	12453.00 	11881.00 	12296.00 	11909.00 	11921.00 	11541.00 	10872.00 	10706.00 	10471.00 
A,M12,A3100,THS_HD,PL	11132.18 	10994.40 	11265.65 	10590.20 	11106.70 	11908.20 	11027.70 	11215.50 	11727.40 	10242.40 	9624.25 	9769.70 p
A,M12,A3100,THS_HD,PT	2024.12 	2014.38 	2126.91 	2247.33 	2151.16 	2165.31 	2205.05 	2255.87 	2251.97 	2221.02 p	2183.32 	2174.82 p
A,M12,A3100,THS_HD,RO	5234.30 	5180.20 	5041.70 	4926.90 	4707.70 	4406.00 	3925.30 	3834.10 	3784.50 	3619.60 	3328.70 	3200.10 p
A,M12,A3100,THS_HD,RS	3139.00 e	3144.00 	3236.00 	3284.00 	3021.00 	2911.00 	2782.00 	2903.00 	2983.00 	2868.00 	2666.98 	2140.99 
A,M12,A3100,THS_HD,SE	1473.70 	1480.40 	1457.90 	1435.30 	1436.40 	1382.30 	1417.20 	1481.20 	1389.30 	1372.50 	1416.27 	1326.44 
A,M12,A3100,THS_HD,SI	296.10 	288.35 	281.68 	271.39 	265.74 	257.24 	259.13 	240.14 	229.48 	215.71 	202.15 	196.14 
A,M12,A3100,THS_HD,SK	631.44 	637.17 	641.83 	633.11 e	585.84 	614.38 	627.02 	589.23 	538.31 	453.08 	380.90 	403.04 p
A,M12,A3100,THS_HD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.65 e	1.67 
A,M12,A3100,THS_HD,UK	4216.00 	4383.00 	4510.00 	4422.00 	4538.00 	4713.00 	4648.00 	4741.00 	: 	: 	: 	: 
A,M12,A3100,THS_HD,XK	: 	: 	: 	44.15 	42.31 	41.09 	40.16 	40.53 	45.39 	47.38 	45.42 	: 
